Lat Lon emi_CO[kg/m2/s]
45.05 10.15 2.2854501624536283e-10
45.05 10.25 2.3126615900093128e-10
45.05 10.35 3.3298161450368013e-10
45.05 10.45 2.8096042159475587e-10
45.05 10.55 2.8252356010227686e-10
45.05 10.65 2.0572731018742019e-10
45.05 10.75 2.8932364837253033e-10
45.05 10.85 3.0661073679993933e-10
45.05 10.95 4.194133929047439e-10
45.05 11.05 2.3179907993053916e-10
45.05 11.15 6.708015254375255e-10
45.05 11.25 2.9690880309907186e-10
45.05 11.35 1.6114214129725468e-10
45.05 11.45 2.655693165376505e-10
45.05 11.55 2.0218610119471236e-10
45.05 11.65 3.527819147919331e-10
45.05 11.75 5.408394287975682e-10
45.05 11.85 4.0772429876767546e-10
45.05 11.95 1.8689336189758876e-10
45.05 12.05 3.083281685523076e-10
45.05 12.15 6.384096584710619e-10
45.05 12.25 2.7723129347734243e-10
45.05 12.35 3.869307652060172e-11
45.15 8.65 2.4435070633543887e-10
45.15 8.75 2.2788125553230287e-10
45.15 8.85 3.6868122443856066e-10
45.15 8.95 4.1807873829569075e-10
45.15 9.05 2.7818822245784247e-10
45.15 9.15 4.790910446139662e-10
45.15 9.25 3.574614215740013e-10
45.15 9.35 3.1748184636803956e-10
45.15 9.45 3.4916658453454374e-10
45.15 9.55 3.7532862928735256e-10
45.15 9.65 4.5758144495700037e-10
45.15 9.75 4.1444755960462487e-10
45.15 9.85 2.1927304416635707e-10
45.15 9.95 4.145113696729652e-10
45.15 10.05 8.467213041818411e-10
45.15 10.15 3.917326463209747e-10
45.15 10.25 2.024571621461746e-10
45.15 10.35 3.586398955590653e-10
45.15 10.45 3.352033650649844e-10
45.15 10.55 2.333475634941351e-10
45.15 10.65 3.498953071723321e-10
45.15 10.75 6.517209549805614e-10
45.15 10.85 6.860630952232327e-10
45.15 10.95 2.5736154873889916e-10
45.15 11.05 2.3886259636896057e-10
45.15 11.15 2.091411765992035e-10
45.15 11.25 2.0219169394319891e-10
45.15 11.35 3.817106075665322e-10
45.15 11.45 3.6018646398794374e-10
45.15 11.55 1.8864869388846017e-10
45.15 11.65 2.4823371136406536e-10
45.15 11.75 4.618884164031556e-10
